# Data VRPwTW

set NODE :=	MoscowDepot	Kostroma_ASHAN	Kostroma_7Continent	Ivanovo_ASHAN	Ivanovo_7Continent	Ivanovo_Magnit	Ivanovo_Okey	Pyshma_Perekrestok	Yekaterinburg_ASHANh
	Yekaterinburg_ASHANm	Perm_LENTA;

set VEHICLES:= 1;

param L:= 2;
param travel_cost = 75;
param waiting_cost = 31;
param working_limit = 8;


param service_available:
			1	2	3	4	5	6	7	8	9	10	11	12	13:=
[Ivanovo_ASHAN,*,*]:    	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_7Continent,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13:=
         		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
       			2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_Magnit,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Ivanovo_Okey,*,*]:     	1	2	3	4	5	6	7	8	9	10	11	12	13:=
        		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2    	16	40	64	88	112	136	160	184	208	232	256	280	304   
[Pyshma_Perekrestok,*,*]:      	1	2	3	4	5	6	7	8	9	10	11	12	13:=
         		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
         		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Yekaterinburg_ASHANh,*,*]:     1	2	3	4	5	6	7	8	9	10	11	12	13:=
       			1	7	31	55	79	103	127	151	175	199	223	247	271	295
        		2	16	40	64	88	112	136	160	184	208	232	256	280	304
[Yekaterinburg_ASHANm,*,*]:      1	2	3	4	5	6	7	8	9	10	11	12	13:=
           		1    	7	31	55	79	103	127	151	175	199	223	247	271	295
         		2    	16	40	64	88	112	136	160	184	208	232	256	280	304
[Perm_LENTA,*,*]:       	1	2	3	4	5	6	7	8	9	10	11	12	13:=
             		1	10	34	58	82	106	130	154	178	202	226	250	274	298
        		2    	19	43	67	91	115	139	163	187	211	235	259	283	307;
        		
set CUSTTIMEWINDOWS[MoscowDepot]:=              1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kostroma_ASHAN]:=           1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Kostroma_7Continent]:=      1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_ASHAN]:=    	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_7Continent]:=       1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_Magnit]:=		1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Ivanovo_Okey]:=          	1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Pyshma_Perekrestok]:=       1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Yekaterinburg_ASHANh]:=     1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Yekaterinburg_ASHANm]:=     1	2	3	4	5	6	7	8	9	10	11	12	13;
set CUSTTIMEWINDOWS[Perm_LENTA]:=       	1	2	3	4	5	6	7	8	9	10	11	12	13;

param maxduration:=
1 100;

param capacity :=
1 20000;


param travel_time:
	MoscowDepot	Kostroma_ASHAN	Kostroma_7Continent	Ivanovo_ASHAN	Ivanovo_7Continent	Ivanovo_Magnit	Ivanovo_Okey	Pyshma_Perekrestok	Yekaterinburg_ASHANh
	Yekaterinburg_ASHANm	Perm_LENTA:=
MoscowDepot	.	4.34	4.22	4.35	4.35	4.26	4.3	25.67	23.27	23.08	18.7
Kostroma_ASHAN	4.48	.	0.13	1.67	1.68	1.6	1.57	21.39	18.99	18.8	14.42
Kostroma_7Continent	4.35	0.12	.	1.54	1.56	1.48	1.44	21.45	19.05	18.86	14.47
Ivanovo_ASHAN	4.4	1.68	1.56	.	0.08	0.17	0.19	22.18	19.78	19.59	15.2
Ivanovo_7Continent	4.4	1.7	1.58	0.08	.	0.19	0.2	22.21	19.81	19.62	15.24
Ivanovo_Magnit	4.3	1.6	1.48	0.16	0.16	.	0.09	22.3	19.9	19.71	15.32
Ivanovo_Okey	4.35	1.57	1.46	0.16	0.18	0.09	.	22.29	19.89	19.71	15.32
Pyshma_Perekrestok	25.96	21.54	21.61	22.3	22.34	22.43	22.45	.	2.75	2.73	7.34
Yekaterinburg_ASHANh	23.46	19.04	19.11	19.81	19.84	19.93	19.95	2.69	.	0.23	4.84
Yekaterinburg_ASHANm	23.34	18.92	18.98	19.68	19.72	19.81	19.83	2.67	0.24	.	4.72
Perm_LENTA	18.89	14.47	14.53	15.23	15.27	15.36	15.38	7.23	4.83	4.65	.;
	

param:			demand	service_time:=
MoscowDepot		0	0.2
Kostroma_ASHAN		510	0.2
Kostroma_7Continent	78	0.2
Ivanovo_ASHAN		279	0.2
Ivanovo_7Continent	68	0.2
Ivanovo_Magnit		650	0.2
Ivanovo_Okey		28	0.2
Pyshma_Perekrestok	221	0.2
Yekaterinburg_ASHANh	52	0.2
Yekaterinburg_ASHANm	525	0.2
Perm_LENTA		757	0.2;
